Epoch,Time (s),Train Loss,Test Loss,BIC
1,115.78540897369385,112525.24880981445,2637.119110107422,847850.5569084205
2,126.57674789428711,2300.6698684692383,413.6845893859863,843403.6878669776
3,137.45870900154114,837.3215923309326,216.8591537475586,843010.0369957008
4,148.3672478199005,776.1870384216309,259.7553462982178,843095.8293808021
5,159.38828992843628,808.2568416595459,219.39925575256348,843015.1171997108
6,170.6028048992157,745.3954219818115,205.65989875793457,842987.6384857215
7,181.77989792823792,787.6971378326416,225.16692733764648,843026.652542881
8,193.02136778831482,750.4206771850586,235.10373878479004,843046.5261657753
9,204.1971399784088,671.0651416778564,212.12405395507812,843000.5667961158
10,215.4471938610077,634.914680480957,177.36436653137207,842931.0474212684
11,226.86426186561584,528.0778713226318,151.33089065551758,842878.9804695167
12,238.26612281799316,453.568416595459,145.99727821350098,842868.3132446327
13,249.74766182899475,440.53282165527344,140.06646537780762,842856.4516189613
14,261.28529500961304,438.42846870422363,150.49821281433105,842877.3151138343
15,272.8653619289398,425.66421031951904,136.745698928833,842849.8100860633
16,284.4522268772125,420.1749324798584,138.55273056030273,842853.4241493263
17,296.0507118701935,413.60190200805664,134.82595825195312,842845.9706047096
18,307.7198050022125,413.40417671203613,134.06738090515137,842844.453450016
19,319.3189949989319,413.86639308929443,137.6148281097412,842851.5483444252
20,331.12712597846985,411.8915090560913,131.26136779785156,842838.8414238014
21,343.1541428565979,398.15908336639404,130.2218532562256,842836.7623947181
22,355.2094328403473,391.9733943939209,125.05999183654785,842826.4386718788
23,367.5230770111084,371.51727867126465,118.68685245513916,842813.692393116
24,379.6852300167084,349.8483476638794,109.49236297607422,842795.3034141578
25,391.76720786094666,307.34292221069336,94.70183372497559,842765.7223556556
26,403.99182987213135,253.00852727890015,70.54164266586304,842717.4019735374
27,416.257141828537,178.31754064559937,44.374656677246094,842665.0680015602
28,428.3280098438263,119.23444437980652,31.963845252990723,842640.2463787117
29,440.48670291900635,86.22115445137024,20.704092502593994,842617.7268732109
30,452.6616508960724,61.98464012145996,16.839582324028015,842609.9978528537
31,464.91695189476013,46.367998242378235,11.02886188030243,842598.3764119663
32,477.07669401168823,35.65171378850937,9.589049100875854,842595.4967864074
33,489.294930934906,32.30490440130234,7.935598850250244,842592.1898859062
34,501.45087480545044,26.848768830299377,6.486936986446381,842589.2925621786
35,513.6228699684143,25.944675743579865,6.775251805782318,842589.8691918172
36,525.8274488449097,23.875761091709137,6.850986182689667,842590.020660571
37,538.0090668201447,19.973877608776093,5.864126920700073,842588.0469420471
38,550.3527729511261,18.631609052419662,4.7902109026908875,842585.899110011
39,562.6990728378296,17.83542451262474,4.206775516271591,842584.7322392382
40,575.3884508609772,18.566126853227615,5.502270489931107,842587.3232291855
41,588.3719937801361,19.921379297971725,3.423488110303879,842583.1656644263
42,601.3915958404541,13.819445729255676,4.239592671394348,842584.7978735485
43,614.5178928375244,12.036108762025833,3.0639112293720245,842582.4465106644
44,627.7600178718567,10.594119161367416,2.871534675359726,842582.0617575564
45,640.7913517951965,10.770348876714706,2.9039878845214844,842582.1266639747
46,653.9001870155334,11.086630761623383,4.093184769153595,842584.505057744
47,666.9894528388977,11.743923917412758,2.7191495299339294,842581.7569872655
48,680.096088886261,10.297712951898575,3.0395139157772064,842582.3977160372
49,693.2722868919373,8.865694344043732,2.336721807718277,842580.9921318211
50,706.4679508209229,7.5291295647621155,3.3049862682819366,842582.9286607422
