Epoch,Time (s),Train Loss,Test Loss,BIC
1,112.59597396850586,218519.2490386963,2803.2656860351562,848182.850060276
2,123.50407195091248,4585.063346862793,576.1484069824219,843728.6155021705
3,134.40318083763123,1409.99369430542,387.358211517334,843351.0351112403
4,145.40716791152954,1096.0135879516602,306.5608024597168,843189.4402931251
5,156.62165594100952,943.550838470459,278.29590225219727,843132.9104927101
6,167.89419794082642,883.0976390838623,285.5528144836426,843147.424317173
7,179.69108200073242,828.8720989227295,238.5999984741211,843053.5186851539
8,191.40037989616394,767.9032325744629,227.8129005432129,843031.9444892921
9,203.50522899627686,772.6913414001465,245.52950859069824,843067.3777053871
10,215.35897397994995,670.5692348480225,195.7311019897461,842967.7808921852
11,227.46942400932312,612.9053840637207,176.9950294494629,842930.3087471046
12,239.3574938774109,548.2122344970703,165.88565254211426,842908.0899932899
13,251.2182228565216,520.517765045166,161.38497352600098,842899.0886352577
14,263.1382808685303,503.7525863647461,150.69344520568848,842877.705578617
15,274.8896608352661,462.678503036499,143.8702507019043,842864.0591896095
16,286.70366883277893,447.4248285293579,141.4898738861084,842859.2984359779
17,298.46033096313477,436.56475925445557,138.37405014038086,842853.0667884864
18,310.2717628479004,427.2452449798584,136.3334255218506,842848.9855392494
19,322.10402488708496,419.56381130218506,134.9949836730957,842846.3086555519
20,334.0406708717346,416.26537227630615,133.74002838134766,842843.7987449684
21,346.3178708553314,409.76616859436035,132.53883171081543,842841.3963516273
22,358.588073015213,402.5276517868042,129.37033081054688,842835.0593498268
23,370.78003096580505,393.8176612854004,126.95623016357422,842830.2311485328
24,383.03540682792664,380.62754344940186,121.76705837249756,842819.8528049507
25,395.2619979381561,357.35790729522705,110.49377727508545,842797.3062427558
26,407.4663739204407,314.4892387390137,90.61430931091309,842757.5473068275
27,419.72417092323303,257.33117866516113,76.01449680328369,842728.3476818122
28,431.97357201576233,215.479736328125,61.25743103027344,842698.8335502662
29,444.28815388679504,181.3210039138794,48.84962463378906,842674.0179374733
30,456.6009659767151,152.14221477508545,37.999173641204834,842652.3170354881
31,469.6525049209595,115.33758854866028,29.874465465545654,842636.0676191368
32,482.2080888748169,93.44106197357178,23.900091648101807,842624.1188715019
33,494.69579792022705,78.41293716430664,20.585713863372803,842617.4901159324
34,507.182471036911,60.35551846027374,16.09791886806488,842608.5145259418
35,519.68385887146,50.87054967880249,13.827788710594177,842603.9742656269
36,532.1106789112091,42.322102427482605,11.50059950351715,842599.3198872127
37,544.5760719776154,35.67327094078064,10.357962191104889,842597.0346125879
38,557.1656129360199,31.04101276397705,9.092789828777313,842594.5042678632
39,569.6852488517761,28.641862511634827,8.177991032600403,842592.6746702709
40,582.5149710178375,27.12634187936783,9.043639600276947,842594.4059674062
41,595.7003428936005,22.691924393177032,6.671004116535187,842589.6606964387
42,608.8916509151459,19.8421830534935,5.9373199343681335,842588.1933280744
43,622.1636388301849,17.977100372314453,5.280401647090912,842586.8794914999
44,635.3813560009003,15.834974110126495,4.788644015789032,842585.8959762373
45,648.6901669502258,14.06773117184639,4.209434747695923,842584.7375577011
46,662.0425798892975,13.039753586053848,4.028195679187775,842584.375079564
47,675.4200298786163,11.891298204660416,3.5887610018253326,842583.4962102093
48,688.8241858482361,10.918398886919022,3.3561064302921295,842583.0309010663
49,702.1532499790192,10.00288188457489,3.120306521654129,842582.559301249
50,715.5776798725128,9.519345968961716,3.249057650566101,842582.8168035068
