Epoch,Time (s),Train Loss,Test Loss,BIC
1,111.25808596611023,338489.6386871338,3848.505096435547,850273.3288810768
2,122.28026294708252,6792.50390625,473.7968215942383,843523.9123313942
3,133.05336594581604,1390.6164016723633,331.8176803588867,843239.9540489234
4,143.9664580821991,939.1763496398926,264.22642517089844,843104.7715385475
5,155.00942301750183,846.293586730957,252.62866973876953,843081.5760276832
6,166.47485399246216,815.9870853424072,230.2507553100586,843036.8201988258
7,177.84444308280945,789.1263408660889,219.36438179016113,843015.047451786
8,189.68078207969666,719.7160243988037,210.3503761291504,842997.019440464
9,201.38550996780396,671.7726745605469,195.22515869140625,842966.7690055885
10,212.9298849105835,652.2516632080078,188.54681396484375,842953.4123161354
11,224.66918897628784,621.7132053375244,186.69102668762207,842949.7007415809
12,236.33248496055603,511.8321762084961,171.82887077331543,842919.9764297523
13,248.1225860118866,482.64783477783203,150.88024139404297,842878.0791709938
14,259.94881200790405,463.5511121749878,150.51699447631836,842877.3526771583
15,271.72903299331665,456.52824211120605,146.2629337310791,842868.8445556678
16,283.5458719730377,453.56214904785156,144.52420043945312,842865.3670890846
17,295.36431097984314,436.796480178833,143.108003616333,842862.5346954383
18,307.2559790611267,438.8631582260132,142.39515495300293,842861.1089981117
19,319.12955808639526,432.77728176116943,142.25228691101074,842860.8232620277
20,331.1576120853424,430.0105438232422,138.44391441345215,842853.2065170326
21,343.3834459781647,422.35218715667725,136.69357872009277,842849.7058456459
22,355.73718190193176,413.7171936035156,137.93841361999512,842852.1955154457
23,368.04158210754395,410.5688877105713,134.80244636535645,842845.9235809364
24,380.36108803749084,407.51081562042236,134.85848903656006,842846.0356662788
25,392.7746059894562,404.63427734375,134.35802268981934,842845.0347335853
26,405.1883590221405,402.3562841415405,131.96316242218018,842840.24501305
27,417.56781792640686,399.0656223297119,130.89959049224854,842838.1178691902
28,430.05748891830444,390.2435894012451,125.58921813964844,842827.497124485
29,442.514976978302,375.93847465515137,122.90798854827881,842822.1346653022
30,454.97376704216003,355.7160005569458,112.5506238937378,842801.4199359932
31,467.46115899086,327.41673946380615,104.51372051239014,842785.3461292305
32,479.95731592178345,297.4971876144409,92.95347785949707,842762.2256439247
33,492.52193808555603,260.6880569458008,80.26262378692627,842736.8439357795
34,505.0669529438019,220.0746693611145,65.56549453735352,842707.4496772804
35,518.3000860214233,178.18375730514526,50.63684844970703,842677.5923851051
36,532.7369680404663,139.49828100204468,37.50936555862427,842651.3374193229
37,546.5191769599915,107.66967487335205,29.25213861465454,842634.822965435
38,560.2235119342804,86.45740509033203,24.040135145187378,842624.398958496
39,573.3860220909119,70.30639815330505,19.48559808731079,842615.2898843803
40,586.5333859920502,60.10910487174988,16.52209186553955,842609.3628719368
41,599.9399290084839,51.704060316085815,14.959240198135376,842606.237168602
42,613.286679983139,45.42960321903229,12.736127734184265,842601.790943674
43,626.5734250545502,39.60079216957092,11.031215786933899,842598.3811197795
44,639.936243057251,34.75658476352692,9.651251554489136,842595.6211913147
45,653.2859489917755,30.84175008535385,8.934791564941406,842594.1882713356
46,666.6620240211487,27.987487256526947,7.879004776477814,842592.0766977586
47,679.9940750598907,25.321734845638275,7.050863444805145,842590.4204150953
48,693.3224959373474,23.706979870796204,6.651109397411346,842589.6209070005
49,706.7554888725281,21.66149526834488,6.171092927455902,842588.6608740606
50,720.3454840183258,20.062503457069397,5.746611714363098,842587.8119116344
