Epoch,Time (s),Train Loss,Test Loss,BIC
1,110.36276006698608,24054.575721740723,1548.077980041504,9654.868598832436
2,116.0056140422821,2362.7806358337402,484.57189559936523,7527.856429948158
3,121.8505129814148,801.5274505615234,190.13227462768555,6938.977188004798
4,127.702889919281,446.6142282485962,134.99159336090088,6828.695825471229
5,133.6516649723053,379.2702627182007,136.4577054977417,6831.628049744911
6,139.644455909729,374.88439750671387,106.54466342926025,6771.801965607948
7,145.48928093910217,325.366087436676,115.33944797515869,6789.391534699745
8,151.3430941104889,308.48580598831177,95.43059635162354,6749.573831452674
9,157.41361093521118,298.38883113861084,92.27956199645996,6743.271762742347
10,163.53476405143738,283.82921171188354,83.53154993057251,6725.775738610572
11,169.64921712875366,268.86045598983765,95.09980773925781,6748.912254227943
12,175.78820705413818,243.1949758529663,71.85366773605347,6702.419974221534
13,181.98035311698914,243.05607795715332,76.19505167007446,6711.102742089576
14,188.0968940258026,230.79066801071167,85.28525304794312,6729.2831448453135
15,194.34561109542847,237.30904865264893,66.29888534545898,6691.310409440345
16,200.58001613616943,197.80185508728027,76.79166555404663,6712.2959698575205
17,207.16726207733154,207.24852085113525,60.3717942237854,6679.456227196998
18,213.88388204574585,196.3572187423706,70.44332647323608,6699.599291695899
19,220.68636512756348,189.47104215621948,56.91622185707092,6672.545082463569
20,227.48263907432556,163.79789924621582,56.4899959564209,6671.692630662269
21,234.23895406723022,155.79176020622253,55.43066167831421,6669.573962106056
22,240.9837291240692,146.5812394618988,48.511412620544434,6655.735463990516
23,247.7319040298462,142.04853129386902,48.59646034240723,6655.905559434242
24,254.50659012794495,142.64362478256226,72.63587427139282,6703.984387292213
25,261.2719159126282,149.86288285255432,43.307804584503174,6645.328247918434
26,268.09372091293335,132.70268177986145,40.6742160320282,6640.061070813484
27,274.88930010795593,124.82337021827698,45.47762203216553,6649.667882813758
28,281.76291513442993,128.74063396453857,42.5769739151001,6643.866586579627
29,288.61938190460205,123.07130455970764,38.708407402038574,6636.129453553504
30,295.46714305877686,116.97466278076172,38.27084922790527,6635.254337205238
31,302.37489104270935,110.21919286251068,39.09391474723816,6636.900468243904
32,309.34022998809814,117.98566746711731,39.78556752204895,6638.283773793525
33,316.5652439594269,111.38134026527405,34.329248666763306,6627.371136082954
34,324.5291030406952,105.87714314460754,31.628116965293884,6621.968872680015
35,332.4866449832916,112.58600544929504,45.763272285461426,6650.23918332035
36,340.37552094459534,109.31418466567993,33.74118685722351,6626.195012463874
37,348.22720408439636,97.83690464496613,28.113386750221252,6614.93941224987
38,356.11573910713196,87.09115326404572,31.738877296447754,6622.190393342323
39,364.064425945282,80.03178250789642,27.585400581359863,6613.883439912147
40,371.9421429634094,89.76048612594604,34.05866599082947,6626.829970731086
41,379.9130930900574,94.70317912101746,28.306955575942993,6615.326549901313
42,387.9556441307068,76.70631456375122,24.358550190925598,6607.429739131278
43,396.02614307403564,82.2194299697876,37.16747426986694,6633.047587289161
44,404.1651339530945,81.66183280944824,29.6953604221344,6618.103359593696
45,412.29635190963745,75.98407769203186,23.58763289451599,6605.887904538459
46,420.46675395965576,68.79454576969147,23.803748965263367,6606.320136679954
47,428.6973240375519,61.325732469558716,21.1612366437912,6601.03511203701
48,436.96628499031067,57.0116423368454,19.399458646774292,6597.511556042976
49,445.1546540260315,55.578859090805054,18.61343014240265,6595.9394990342325
50,453.36614203453064,58.186371088027954,17.10643881559372,6592.925516380615
