Epoch,Time (s),Train Loss,Test Loss,BIC
1,162.90462684631348,9843.51040649414,3265.0850830078125,2.353054378414922e7
2,168.18976497650146,10035.488861083984,3265.0850830078125,2.353054378414922e7
3,173.38012790679932,10035.488891601562,3265.0850830078125,2.353054378414922e7
4,178.62439584732056,10035.488830566406,3265.0850830078125,2.353054378414922e7
5,183.97973084449768,10035.48892211914,3265.0850830078125,2.353054378414922e7
6,189.4429588317871,10035.488677978516,3265.0850830078125,2.353054378414922e7
7,195.31879591941833,10035.488952636719,3265.0850830078125,2.353054378414922e7
8,200.96891498565674,10035.488983154297,3265.0850830078125,2.353054378414922e7
9,206.6934938430786,10035.488815307617,3265.0850830078125,2.353054378414922e7
10,212.44106698036194,10035.488708496094,3265.0850830078125,2.353054378414922e7
11,218.22537088394165,10035.489044189453,3265.0850830078125,2.353054378414922e7
12,224.1046860218048,10035.488861083984,3265.0850830078125,2.353054378414922e7
13,229.98820996284485,10035.488891601562,3265.0850830078125,2.353054378414922e7
14,235.8131070137024,10035.488891601562,3265.0850830078125,2.353054378414922e7
15,241.82152700424194,10035.48876953125,3265.0850830078125,2.353054378414922e7
16,247.8663558959961,10035.488830566406,3265.0850830078125,2.353054378414922e7
17,254.16198992729187,10035.48876953125,3265.0850830078125,2.353054378414922e7
18,260.5225670337677,10035.488830566406,3265.0850830078125,2.353054378414922e7
19,267.003830909729,10035.488891601562,3265.0850830078125,2.353054378414922e7
20,273.42866587638855,10035.488861083984,3265.0850830078125,2.353054378414922e7
21,280.14604902267456,10035.489044189453,3265.0850830078125,2.353054378414922e7
22,286.6040999889374,10035.488983154297,3265.0850830078125,2.353054378414922e7
23,293.1531629562378,10035.488952636719,3265.0850830078125,2.353054378414922e7
24,299.6928060054779,10035.488983154297,3265.0850830078125,2.353054378414922e7
25,306.2363610267639,10035.488739013672,3265.0850830078125,2.353054378414922e7
26,312.9221019744873,10035.48892211914,3265.0850830078125,2.353054378414922e7
27,319.58846402168274,10035.48892211914,3265.0850830078125,2.353054378414922e7
28,326.26936292648315,10035.488830566406,3265.0850830078125,2.353054378414922e7
29,332.92643904685974,10035.488800048828,3265.0850830078125,2.353054378414922e7
30,339.65269899368286,10035.489013671875,3265.0850830078125,2.353054378414922e7
31,346.2934458255768,10035.488891601562,3265.0850830078125,2.353054378414922e7
32,353.0942180156708,10035.488983154297,3265.0850830078125,2.353054378414922e7
33,360.2213888168335,10035.489013671875,3265.0850830078125,2.353054378414922e7
34,367.7823770046234,10035.488891601562,3265.0850830078125,2.353054378414922e7
35,375.39863181114197,10035.488891601562,3265.0850830078125,2.353054378414922e7
36,383.0777769088745,10035.48876953125,3265.0850830078125,2.353054378414922e7
37,390.76180481910706,10035.488983154297,3265.0850830078125,2.353054378414922e7
38,398.43963289260864,10035.488876342773,3265.0850830078125,2.353054378414922e7
39,406.0866768360138,10035.48892211914,3265.0850830078125,2.353054378414922e7
40,413.8230369091034,10035.48892211914,3265.0850830078125,2.353054378414922e7
41,421.64599204063416,10035.488815307617,3265.0850830078125,2.353054378414922e7
42,429.67178988456726,10035.488891601562,3265.0850830078125,2.353054378414922e7
43,437.5727870464325,10035.488983154297,3265.0850830078125,2.353054378414922e7
44,445.44057989120483,10035.488952636719,3265.0850830078125,2.353054378414922e7
45,453.49089884757996,10035.488983154297,3265.0850830078125,2.353054378414922e7
46,461.7517569065094,10035.488830566406,3265.0850830078125,2.353054378414922e7
47,469.85743594169617,10035.488891601562,3265.0850830078125,2.353054378414922e7
48,477.90201902389526,10035.488861083984,3265.0850830078125,2.353054378414922e7
49,485.88477993011475,10035.488800048828,3265.0850830078125,2.353054378414922e7
50,493.87827491760254,10035.488952636719,3265.0850830078125,2.353054378414922e7
