Epoch,Time (s),Train Loss,Test Loss,BIC
1,161.41440200805664,44109.760749816895,604.1488227844238,2.352522191162877e7
2,166.59620308876038,918.8078536987305,216.92498970031738,2.3524447463962603e7
3,171.85356307029724,694.016529083252,212.95301055908203,2.352443952000432e7
4,177.0664632320404,666.0476894378662,207.46044731140137,2.3524428534877826e7
5,182.60944318771362,639.8884544372559,212.29527854919434,2.35244382045403e7
6,188.12920117378235,616.412052154541,184.5046215057373,2.3524382623226214e7
7,193.6193060874939,596.752950668335,173.01336765289307,2.352435964071851e7
8,199.07726311683655,529.3647994995117,154.12985801696777,2.3524321873699237e7
9,204.7549102306366,498.12566089630127,131.64568996429443,2.352427690536313e7
10,210.44346523284912,375.13736629486084,109.02151393890381,2.352423165701108e7
11,216.20881009101868,288.7710876464844,87.62130451202393,2.3524188856592227e7
12,222.16395115852356,218.39128732681274,59.46223258972168,2.3524132538448382e7
13,227.984943151474,141.91737985610962,36.80458188056946,2.3524087223146964e7
14,233.79337406158447,89.98760795593262,23.472312688827515,2.352406055860858e7
15,239.73501920700073,60.5521057844162,24.245767831802368,2.3524062105518866e7
16,245.75965905189514,47.17670953273773,16.08198881149292,2.3524045777960826e7
17,251.99130702018738,31.405874848365784,7.86275315284729,2.352402933948951e7
18,258.255469083786,23.74535498023033,5.898109436035156,2.3524025410202075e7
19,264.65244221687317,17.75823798775673,5.111495494842529,2.3524023836974192e7
20,271.18305706977844,16.523101150989532,6.205979347229004,2.3524026025941897e7
21,277.7408311367035,12.38838079571724,4.776802718639374,2.352402316758864e7
22,284.32941818237305,13.402732834219933,3.8660852015018463,2.3524021346153606e7
23,290.9607880115509,9.46768844127655,3.2628335058689117,2.3524020139650214e7
24,297.554808139801,9.95014502108097,2.8558602035045624,2.352401932570361e7
25,304.0078010559082,8.529036074876785,5.258410304784775,2.3524024130803812e7
26,310.5322952270508,7.52783477306366,2.317354366183281,2.3524018248691935e7
27,317.0408091545105,7.133847638964653,3.760707765817642,2.3524021135398734e7
28,323.73556208610535,7.42524217069149,2.3816529661417007,2.3524018377289135e7
29,330.46037006378174,7.882893413305283,2.0979509502649307,2.3524017809885103e7
30,337.020042181015,6.46944323182106,1.8858832120895386,2.3524017385749627e7
31,343.7377099990845,5.437388554215431,1.7631669491529465,2.35240171403171e7
32,350.54254722595215,5.870778165757656,2.28452305495739,2.3524018183029313e7
33,357.7155132293701,5.278873182833195,2.410458207130432,2.3524018434899617e7
34,365.3448791503906,5.715363956987858,1.6571948006749153,2.3524016928372804e7
35,372.99096608161926,5.44089937210083,1.6977932900190353,2.3524017009569783e7
36,380.34168314933777,5.0865747183561325,1.5908082202076912,2.3524016795599643e7
37,387.79224705696106,4.427386172115803,1.6637234091758728,2.352401694143002e7
38,395.3954300880432,4.790887147188187,1.4678765758872032,2.3524016549736355e7
39,403.1287751197815,4.630713403224945,1.4784302338957787,2.352401657084367e7
40,411.0244312286377,3.8418921157717705,1.2729246988892555,2.35240161598326e7
41,418.93052911758423,4.09621324390173,1.8473770767450333,2.3524017308737356e7
42,426.8490822315216,4.363431431353092,1.8374841958284378,2.3524017288951594e7
43,434.6380271911621,4.110638990998268,1.519934020936489,2.3524016653851245e7
44,442.44498920440674,5.221768341958523,2.11300528049469,2.3524017839993764e7
45,451.2597072124481,3.9741786792874336,1.1673811599612236,2.3524015948745523e7
46,459.44446420669556,3.7308926805853844,1.3073096424341202,2.3524016228602488e7
47,467.4970781803131,3.8199650943279266,2.836163341999054,2.3524019286309887e7
48,475.4608371257782,3.90066871792078,1.049908995628357,2.3524015713801194e7
49,483.65005016326904,3.2469737753272057,1.232988215982914,2.3524016079959635e7
50,492.0121831893921,3.1756632775068283,0.9748506471514702,2.3524015563684497e7
